doc_id,item,category,amount,price,discount
R2_1_1_2989,Постельное бельё,Текстиль,10,89.9,0.0
R2_1_1_2989,Мерный стакан,Кухонная утварь,4,187.68,0.0
R2_1_1_2989,Настенный крючок,Хранение,8,296.46,0.0
R2_1_1_2989,Силиконовая лопатка,Кухонная утварь,11,1078.49,201.29
R2_1_2_1890,Коврик,Текстиль,5,946.48,125.47
R2_1_3_8521,Кухонный нож,Кухонная утварь,1,1086.93,133.81
R2_1_4_8501,Настенный крючок,Хранение,7,1148.37,0.0
R2_1_4_8501,Настенный крючок,Хранение,3,759.01,0.0
R2_1_4_8501,Резиновые перчатки,Средства для уборки,4,207.09,0.0
R2_1_5_7417,Разделочная доска,Кухонная утварь,9,332.2,0.0
R2_1_6_7306,Сервировочное блюдо,Посуда,11,276.6,0.0
R2_1_7_5691,Многоцелевой очиститель,Бытовая химия,6,1166.58,390.63
R2_1_7_5691,Вакуумный пакет,Хранение,3,153.84,0.0
R2_1_8_6628,Стакан,Посуда,7,496.72,0.0
R2_1_8_6628,Чашка,Посуда,9,293.18,0.0
R2_1_8_6628,Средство для чистки сантехники,Бытовая химия,9,679.57,0.0
R2_1_9_5276,Стакан,Посуда,5,755.11,0.0
R2_1_10_7913,Сковорода,Кухонная утварь,6,492.23,45.24
R2_1_10_7913,Губки для посуды,Средства для уборки,8,1126.7,412.0
