doc_id,item,category,amount,price,discount
R1_1_1_8236,Настенный крючок,Хранение,10,197.98,17.71
R1_1_1_8236,Настенный крючок,Хранение,9,90.06,2.34
R1_1_1_8236,Сервировочное блюдо,Посуда,2,960.31,0.0
R1_1_1_8236,Многоцелевой очиститель,Бытовая химия,2,422.26,0.0
R1_1_2_5496,Полотенце,Текстиль,2,613.82,0.0
R1_1_3_5957,Мерный стакан,Кухонная утварь,10,745.65,0.0
R1_1_3_5957,Корзина для белья,Хранение,5,886.08,73.96
R1_1_3_5957,Обеденная тарелка,Посуда,10,297.5,8.1
R1_1_3_5957,Коврик,Текстиль,9,127.55,33.08
R1_1_4_3626,Средство для мытья посуды,Бытовая химия,8,1004.11,122.2
R1_1_5_7608,Корзина для белья,Хранение,8,436.64,157.22
R1_1_5_7608,Губки для посуды,Средства для уборки,1,561.18,44.97
R1_1_6_2437,Швабра,Средства для уборки,3,761.74,206.69
R1_1_6_2437,Плед,Текстиль,5,243.15,18.46
R1_1_7_9859,Контейнер для круп,Хранение,3,217.4,15.94
R1_1_7_9859,Обеденная тарелка,Посуда,10,266.12,15.49
R1_1_7_9859,Разделочная доска,Кухонная утварь,5,956.45,0.0
R1_1_7_9859,Разделочная доска,Кухонная утварь,8,188.43,0.0
R1_1_8_1134,Настенный крючок,Хранение,8,353.77,0.0
R1_1_8_1134,Губки для посуды,Средства для уборки,5,631.95,0.0
R1_1_8_1134,Средство для мытья посуды,Бытовая химия,4,414.38,70.08
R1_1_8_1134,Стиральный порошок,Бытовая химия,6,937.38,117.49
R1_1_9_9429,Разделочная доска,Кухонная утварь,5,651.79,0.0
R1_1_10_9762,Мерный стакан,Кухонная утварь,10,1136.16,331.33
R1_1_10_9762,Чашка,Посуда,2,80.65,0.0
R1_1_10_9762,Органайзер для ящиков,Хранение,5,462.95,68.84
R1_1_10_9762,Средство для мытья посуды,Бытовая химия,5,1104.5,0.0
