doc_id,item,category,amount,price,discount
R3_1_1_6467,Сковорода,Кухонная утварь,8,413.58,49.72
R3_1_1_6467,Набор для уборки ковров,Средства для уборки,5,879.16,202.69
R3_1_1_6467,Плед,Текстиль,11,1103.06,0.0
R3_1_1_6467,Сковорода,Кухонная утварь,3,884.28,0.0
R3_1_2_1030,Многоцелевой очиститель,Бытовая химия,1,821.56,217.58
R3_1_2_1030,Корзина для белья,Хранение,11,452.88,0.0
R3_1_2_1030,Стакан,Посуда,11,559.28,0.0
R3_1_2_1030,Средство для мытья посуды,Бытовая химия,6,936.33,0.0
R3_1_3_1031,Кухонный нож,Кухонная утварь,7,375.97,4.4
R3_1_3_1031,Кухонный нож,Кухонная утварь,7,721.47,0.0
R3_1_3_1031,Сервировочное блюдо,Посуда,8,722.63,0.0
R3_1_3_1031,Разделочная доска,Кухонная утварь,5,230.45,0.0
R3_1_4_3760,Сковорода,Кухонная утварь,8,1142.19,0.0
R3_1_4_3760,Щётка,Средства для уборки,7,122.19,0.0
R3_1_4_3760,Плед,Текстиль,7,248.03,0.0
R3_1_5_3840,Разделочная доска,Кухонная утварь,4,478.6,189.92
R3_1_6_3430,Органайзер для ящиков,Хранение,3,517.14,0.0
R3_1_6_3430,Набор для уборки ковров,Средства для уборки,8,469.06,154.9
R3_1_6_3430,Плед,Текстиль,2,833.82,243.57
R3_1_6_3430,Салатник,Посуда,10,1067.01,0.0
R3_1_7_8584,Ополаскиватель для белья,Бытовая химия,5,272.43,0.0
R3_1_8_8237,Пластиковый контейнер,Хранение,2,604.83,0.0
R3_1_8_8237,Коврик,Текстиль,10,1028.86,65.3
R3_1_8_8237,Ведро,Средства для уборки,1,1126.47,0.0
R3_1_9_5945,Стакан,Посуда,1,479.63,0.0
R3_1_9_5945,Пластиковый контейнер,Хранение,6,358.27,0.0
R3_1_9_5945,Органайзер для ящиков,Хранение,10,509.49,0.0
R3_1_10_7697,Чашка,Посуда,6,761.28,166.04
R3_1_10_7697,Пластиковый контейнер,Хранение,4,887.38,94.29
R3_1_10_7697,Стиральный порошок,Бытовая химия,3,716.12,0.0
