doc_id,item,category,amount,price,discount
R1_2_1_9033,Средство для мытья посуды,Бытовая химия,8,578.73,0.0
R1_2_1_9033,Органайзер для ящиков,Хранение,2,443.46,0.0
R1_2_1_9033,Губки для посуды,Средства для уборки,4,618.34,177.31
R1_2_1_9033,Кофейная пара,Посуда,11,498.43,0.0
R1_2_2_4261,Пластиковый контейнер,Хранение,10,228.45,0.0
R1_2_3_1797,Средство для чистки сантехники,Бытовая химия,11,995.68,170.83
R1_2_4_1230,Мерный стакан,Кухонная утварь,2,463.74,0.0
R1_2_4_1230,Чашка,Посуда,2,55.81,0.0
R1_2_4_1230,Ополаскиватель для белья,Бытовая химия,9,281.1,0.0
R1_2_5_5510,Швабра,Средства для уборки,1,721.5,271.25
R1_2_5_5510,Кофейная пара,Посуда,9,163.61,49.34
R1_2_6_2386,Сервировочное блюдо,Посуда,2,616.41,217.95
R1_2_6_2386,Резиновые перчатки,Средства для уборки,2,373.59,0.0
R1_2_6_2386,Пластиковый контейнер,Хранение,10,931.81,338.56
R1_2_7_9564,Контейнер для круп,Хранение,10,1081.47,108.01
R1_2_7_9564,Силиконовая лопатка,Кухонная утварь,11,358.25,0.0
R1_2_8_7484,Силиконовая лопатка,Кухонная утварь,7,430.61,0.0
R1_2_8_7484,Разделочная доска,Кухонная утварь,11,309.3,0.0
R1_2_8_7484,Ведро,Средства для уборки,3,823.53,0.0
R1_2_8_7484,Резиновые перчатки,Средства для уборки,11,64.2,4.33
R1_2_9_9901,Стакан,Посуда,4,113.35,0.0
R1_2_9_9901,Щётка,Средства для уборки,11,803.08,0.0
R1_2_9_9901,Швабра,Средства для уборки,3,153.81,30.13
R1_2_9_9901,Полотенце,Текстиль,10,605.56,0.0
R1_2_10_7208,Силиконовая лопатка,Кухонная утварь,11,1030.63,0.0
